booklet_id,booklet_type,textbook_chapter_reference,printed_booklet_question,lookup_variants,frequencelevel,criticalitylevel
Q_0001,FAQ,anemia_during_pregnancy.md,"Mera hemoglobin 7 point hai, khoon badhane ke liye kya karna chahiye?","['Mera Khoon 7 point hain khoon badhane ke liye kya karna hai', 'hb 7 hai blood increase kaise karu', 'khoon ki kami hai 7gm hi hai kya khau', '7 point khoon h kaise badhega']",['High Frequency'],['High Critical']
Q_0002,FAQ,anemia_during_pregnancy.md,Pregnancy mein khoon badhane ke liye kya khana zaroori hai?,"['Khoon badhane k liye kya khana zaruri hai', 'pregnancy me blood badhane ke liye diet', 'kya khane se khoon badhta hai', 'blood kam hai kya khana chahiye']",['High Frequency'],['High Critical']
Q_0003,FAQ,pregnancy_nutrition_and_diet.md,Pregnancy mein bacche ka vajan badhane ke liye kya khana chahiye?,"['bache ka wajah badhane k liye kya khilana chaiye', 'baby ka weight gain k liye kya khau', 'garbh me shishu ka vajan kaise badhaye', 'bacche ka vajan badhane wala food']",['High Frequency'],['Medium Critical']
Q_0004,FAQ,pregnancy_nutrition_and_diet.md,Pregnancy mein kya khana chahiye aur kya nahi khana chahiye?,"['Pregnancy me kya khana chahiye', 'pregancny me konsi sabji khau or konsi sabji nahi', 'kya khaye kya na khaye pregnancy me', 'pregnancy diet me kya include kare']",['High Frequency'],['Medium Critical']
Q_0005,FAQ,immunization_schedule_and_basics.md,Pregnancy mein aur bacche ke liye teekakaran kyu zaroori hai?,"['Tikkaran kyu jaruri hai', 'vaccine lagwana kyu important hai', 'teeka kyu lagate hain', 'agar tika na lagwaye to kya hoga']",['High Frequency'],['High Critical']
Q_0006,FAQ,immunization_schedule_and_basics.md,Bacche ko teeke kab-kab lagte hain?,"['Bche ko tika kab kab lgta hai', 'baby ka vaccination chart kya hai', 'bache ke tike ka schedule', 'konsa tika kis month me lagega']",['High Frequency'],['High Critical']
Q_0007,FAQ,anemia_during_pregnancy.md,Calcium ki dawai kab leni chahiye aur kya ise iron ki dawai ke saath le sakti hoon?,"['calcium ki dawai kab leni chahiye or kya isse iron wali dawai k sath le sakti hu?', 'iron aur calcium tablet ek sath kha sakte hai?', 'calcium iron goli kab khaye', 'dono dawai me kitna gap hona chahiye']",['High Frequency'],['High Critical']
Q_0008,FAQ,pregnancy_care_and_checkups.md,Pregnancy mein kamar mein dard ho to kya karoon?,"['kamar me dard hai kya karu', 'pregnancy me back pain ka solution', 'peeth me dard ho raha hai kya kare', 'backache in pregnancy']",['High Frequency'],['Low Critical']
Q_0009,FAQ,pregnancy_care_and_checkups.md,Pregnancy mein pet ke nichle hisse mein dard kyun hota hai?,"['pregnancy me pet k nichle hisse me dard kyun hota hai', 'lower abdomen pain kyu hota h', 'pet ke niche dard ka kya matlab hai', 'pedu me dard ho raha hai']",['High Frequency'],['Medium Critical']
Q_0010,FAQ,pregnancy_care_and_checkups.md,Acidity ho gayi hai to kya karna chahiye?,"['acidity ho gayi h toh kya karna chahiye', 'pet me jalan ho rahi hai', 'gas khatm karne ke liye kya kru', 'sine me jalan ka upay']",['High Frequency'],['Low Critical']
Q_0011,FAQ,child_growth_and_malnutrition.md,Alag-alag mahino mein bacche ka vajan kitna hona chahiye?,"['bache ka wajan kitna hona chahiye', 'baby ka weight month by month kitna hona chahiye', '5 months pregnancy may baby ka weight kitna Rehta Hai', '7th month me kitna weight rehna chahiye baby ka']",['High Frequency'],['Medium Critical']
Q_0012,FAQ,childbirth_and_newborn_care.md,Normal delivery ke liye kya karein?,"['normal delivery k liye kya kare', 'kya khaye narmal dilwari ho aasani se', 'normal delivery ke tips', 'bacchedani ka muh khulne ke liye kya karna padta hai']",['High Frequency'],['Medium Critical']
Q_0013,FAQ,pregnancy_nutrition_and_diet.md,Pregnancy mein kaun sa fal khaoon aur kaun sa nahi?,"['pregancny me konsa fall khau or konsi nahi', 'pregnancy me kon se fruit khane chahiye', 'papita kha sakti hu kya', 'which fruits to avoid in pregnancy']",['High Frequency'],['Medium Critical']
Q_0014,FAQ,breastfeeding_guidance.md,"Maa ko accha doodh aaye, iske liye kya karna hoga?","['maa ko accha dudh ke liye karna hoga', 'breast milk badhane ke liye kya khaye', 'doodh nahi aa raha hai kya karu', 'how to increase breastmilk supply']",['High Frequency'],['High Critical']
Q_0015,FAQ,pregnancy_care_and_checkups.md,"Pair mein bahut soojan hai, kya karoon?","['pair me bohot soojan hai', 'Mera 6 manth Chal Raha hai paro me sweling aaye to kya karna chahiye', 'haath pair me sujan kyu aati hai', 'swelling in feet during pregnancy']",['High Frequency'],['Medium Critical']
Q_0016,FAQ,pregnancy_care_and_checkups.md,"Chakkar aa raha hai, kya karoon?","['chakkar aa raha hai kya karu', 'dizziness feel ho raha hai', 'sar ghum raha hai kya kare', 'kamzori lag rahi hai chakkar aa raha hai']",['High Frequency'],['Medium Critical']
Q_0017,FAQ,childbirth_and_newborn_care.md,Caesarean delivery ke baad kya kha sakte hain aur kya nahi?,"['Caeser delivery k baad kya kha sakte hai or kya nahi kha sakte hai', 'c section ke baad diet', 'operation se delivery ke baad kya khana chahiye', 'cesarean ke baad parhez']",['High Frequency'],['Medium Critical']
Q_0018,FAQ,pregnancy_care_and_checkups.md,"Mujhe abhi teesra mahina chalu hai, to mujhe kya-kya check-up karana zaroori hai?","['Mujhe abhi 3 ra month chalu hai to mujhe kya kya check up karna jaruri hai', '3rd month me konse test hote hai', 'teesre mahine ki janch', 'first trimester me kya checkup karaye']",['High Frequency'],['Medium Critical']
Q_0019,FAQ,pregnancy_care_and_checkups.md,Baccha kis mahine mein movement karna shuru karta hai?,"['bacha kis month me movement karta hai', 'baby ki movement kab feel hoti hai', 'pet me baccha kab ghumta hai', 'fetal movement kab start hoti hai']",['High Frequency'],['Low Critical']
Q_0020,FAQ,anemia_during_pregnancy.md,Pregnancy mein khoon ka check-up karana kyun zaroori hai?,"['Pregnancy mai khun ka check up Krna q zaruri hai', 'blood test kyu important hai', 'hb test kyu karte hai', 'khoon ki janch kyu karwani chahiye']",['High Frequency'],['High Critical']
Q_0021,FAQ,pregnancy_care_and_checkups.md,"Mera BP 180 badh gaya hai, admit ke liye bola hai, mujhe kya karna chahiye?","['Mera bp 180 bad gaya hai admit ke liye bola hai', 'high bp hai pregnancy me kya karu', 'bp badh gaya hai', 'blood pressure 180 hai, kya ye khatarnak hai?']",['Medium Frequency'],['High Critical']
Q_0022,FAQ,childbirth_and_newborn_care.md,"Mera babu kamzor hai, use kaanch mein rakha hai, kya karoon?","['Mera babu kamzor h use kanch m rakha h', 'baby nicu me hai', 'baccha kamzor paida hua hai', 'bacha incubator me hai kya kare']",['Low Frequency'],['High Critical']
Q_0023,FAQ,pregnancy_care_and_checkups.md,"Doctor ne bataya hai ki bacche ka vajan kam hai aur paani ki kami hai, kya karoon?","['Doctor se chaup karyi hu wajan kam hai aur pani ki kami bata raha gai', 'baby ka weight kam hai aur amniotic fluid bhi kam hai', 'paani ki kami hai pregnancy me', 'pet me pani kam ho gaya hai kya kare']",['Medium Frequency'],['High Critical']
Q_0024,FAQ,childbirth_and_newborn_care.md,"Mujhe delivery ka dard nahi aa raha hai, dard aaye iske liye kya karna chahiye?","['Mujhe dard nahi aaa raha hai Dard aaye is ke liye kya karna chahiye', 'labour pain start nahi ho raha', 'delivery date nikal gayi par dard nahi', 'dard aane ke liye kya kare']",['Medium Frequency'],['High Critical']
Q_0025,FAQ,immunization_rules_and_exceptions.md,"Chautha mahina hai aur mujhe fever hai, to kya TT ka injection le sakti hoon?","['Chauthe mahine hai mujhe mere fever hai to tt injection liye sakte kya', 'bukhar me tt ka tika lagwa sakte hai?', 'fever hone par pregnancy me injection le sakte hai', 'bimar hu to tika lagega ya nahi']",['Low Frequency'],['High Critical']
Q_0026,FAQ,breastfeeding_special_conditions.md,Agar bacche ke liye doodh kam ho jaye to kya karein?,"['Agar bacche ko dudh kam hojaye to kiya kare', 'mera doodh bacche ke liye pura nahi hota', 'low milk supply hai kya karu', 'baby ka pet nahi bharta']",['High Frequency'],['High Critical']
Q_0027,FAQ,pregnancy_care_and_checkups.md,Pregnancy mein safed paani (white discharge) kyun aata hai?,"['pregnancy me white discharge q aata hai', 'safed pani aana normal hai kya', 'white discharge problem in pregnancy', 'safed paani kyu girta hai']",['High Frequency'],['Low Critical']
Q_0028,FAQ,childbirth_and_newborn_care.md,Hospital delivery ke liye kya-kya taiyari karni chahiye?,"['hospital delivery ki kya tayyari hai', 'delivery ke liye hospital bag me kya rakhe', 'what to pack for delivery', 'hospital jane se pehle kya taiyari kare']",['Medium Frequency'],['Medium Critical']
Q_0029,FAQ,immunization_schedule_and_basics.md,Pehli pregnancy hai to mujhe TT ka injection kitni baar lagega?,"['Meri first pregnancy Hai to Mujhe didi ka injection kitne bar lagega', 'tt ke kitne injection lagte hai', 'pregnancy me tt ke dose kab kab lagte hai', 'first time pregnant hu, tt tika kitna lagega']",['Medium Frequency'],['High Critical']
Q_0030,FAQ,anemia_during_pregnancy.md,Pregnancy mein khoon kitna point hona chahiye?,"['Preganancy me khoon kitna point hona chahiye', 'normal hemoglobin level kya hai pregnancy me', 'hb kitna hona chahiye', 'khoon kitna hona jaruri hai']",['High Frequency'],['Medium Critical']
Q_0031,FAQ,pregnancy_care_and_checkups.md,Abhi mujhe 1 mahina hua hai to mujhe khoon ki jaanch kab karani padegi?,"['Abhi mujhe 1 month hua hai to mujhe khoon janch kab karni padegi', '1st month me blood test kab hota hai', 'pregnancy confirm hui hai, test kab karau', 'pehla blood test kab karwana chahiye']",['Medium Frequency'],['Medium Critical']
Q_0032,FAQ,government_cash_benefit_schemes.md,Pregnancy mein mujhe kaun si sarkari yojana ka laabh milega?,"['pregnancy me mujhe konsi yojana ka labh milega', 'pregnant mahila ke liye sarkari scheme', 'government se kya help milti hai', 'sarkari paisa kaise milega']",['Medium Frequency'],['Low Critical']
Q_0033,FAQ,pregnancy_nutrition_and_diet.md,8 mahine ki pregnancy ke liye diet chart dijiye.,"['8 months pregnancy diet chart do', 'aathve mahine me kya khana chahiye', 'diet for 8th month pregnancy', '8 mahine ka diet plan']",['Medium Frequency'],['Medium Critical']
Q_0034,FAQ,immunization_schedule_and_basics.md,8 mahine ke bacche ko kaun sa injection lagega?,"['8 month ke baby ko injection lagega', '8 mahine me konsa tika lagta hai', 'baby 8 months ka hai, vaccine konsa hai', 'aathve mahine ka teeka']",['Medium Frequency'],['High Critical']
Q_0035,FAQ,complementary_feeding_6_to_24_months.md,Bacche ko Dast lagne par kya khilana chahiye?,"['Dast padhne per kya khayen', 'loose motion me baby ko kya de', 'dast me kya khilaye', 'baby ko dast ho rahe hai']",['Medium Frequency'],['Medium Critical']
Q_0036,FAQ,pregnancy_care_and_checkups.md,Gala kyun jalta hai pregnancy mein?,"['Gla kahe liye jalta hai', 'gale me jalan ho rahi hai', 'heartburn kyu hota hai', 'acidity se gale me jalan']",['Medium Frequency'],['Low Critical']
Q_0037,FAQ,general_child_care_and_development.md,"Meri bacchi raat ko soti nahi hai, kya karoon?","['Meri rat ko soti nhi hai.....', 'baby raat bhar jagta hai', 'baccha sota nahi hai', 'how to make baby sleep at night']",['Medium Frequency'],['Low Critical']
Q_0038,FAQ,pregnancy_care_and_checkups.md,"Mere haath ki ungliyon mein sujan aa rahi hai, 9th month hai, kya karoon?","['Mai 9 month ki paregnet hu mare hath ki ungli me sujan ari h to ky karu', 'haatho me sujan hai 9 mahine me', 'swelling in fingers during pregnancy', 'ungliyo me sujan ka kya karan hai']",['Medium Frequency'],['Medium Critical']
Q_0039,FAQ,pregnancy_nutrition_and_diet.md,Kya pregnancy mein thanda paani pi sakte hain?,"['Main Garmi Mein Thanda Pani Pi sakte hain', 'thanda pani peena safe hai kya', 'can i drink cold water during pregnancy', 'fridge ka pani pi sakti hu']",['Medium Frequency'],['Low Critical']
Q_0040,FAQ,anemia_during_pregnancy.md,Iron ki goli lene ka sahi samay kya hai?,"['iron ki tablet kab leni chahiye', 'ifa goli khane ka time', 'iron ki dawai subah le ya raat me', 'best time to take iron supplements']",['High Frequency'],['Medium Critical']
Q_0041,FAQ,pregnancy_care_and_checkups.md,Pregnancy mein sonography (ultrasound) kab aur kitni baar karani chahiye?,"['sonography kab karwani chahiye', 'ultrasound kitni baar hota hai', 'pregnancy me kitne ultrasound hote hai', 'pehla sonography kab karaye']",['High Frequency'],['Medium Critical']
Q_0042,FAQ,childbirth_and_newborn_care.md,C-section ke baad taankon ki dekhbhal kaise karein?,"['c section ke taanke ki care kaise kare', 'operation ke baad stitches ka dhyan kaise rakhe', 'taanke kab tak theek hote hai', 'cesarean stitches care']",['Medium Frequency'],['Medium Critical']
Q_0043,FAQ,complementary_feeding_6_to_24_months.md,Bacche ko solid food (thos aahar) kab se shuru karna chahiye?,"['when to start solid food for baby', 'bacche ko khana khilana kab shuru kare', '6 mahine ke bacche ko kya khilaye', 'pehli baar kya khilana chahiye']",['High Frequency'],['Medium Critical']
Q_0044,FAQ,vaccine_side_effects_and_reactions.md,Teeka lagne ke baad bukhar aa jaye to kya karein?,"['vaccine ke baad fever aaye to kya kare', 'injection ke baad bukhar ka ilaj', 'baby ko teeke ke baad bukhar hai', 'fever after vaccination']",['High Frequency'],['Medium Critical']
Q_0045,FAQ,vaccine_side_effects_and_reactions.md,Teeke wali jagah par soojan ya gaanth ban jaye to kya karein?,"['injection site par swelling hai', 'teeke ke baad gaanth ban gayi hai', 'sujan aur dard hai injection ke baad', 'lump after vaccine']",['Medium Frequency'],['Low Critical']
Q_0046,FAQ,child_growth_and_malnutrition.md,"Mera baccha vajan nahi badha raha hai, kya karoon?","['baby not gaining weight', 'bacche ka vajan nahi badh raha', 'mera baby bahut patla hai', 'vajan badhane ke liye kya karu']",['High Frequency'],['High Critical']
Q_0047,FAQ,pregnancy_care_and_checkups.md,Pregnancy ke dauran yatra (travel) karna surakshit hai?,"['can i travel during pregnancy', 'pregnancy me safar kar sakte hai', 'Pregnant Mahila ke liye bike per baithana safe hai', 'travel karna safe hai ya nahi']",['Medium Frequency'],['Medium Critical']
Q_0048,FAQ,childbirth_and_newborn_care.md,Naye janme bacche (newborn) ki dekhbhal kaise karein?,"['newborn baby ki care kaise kare', 'naye bacche ki dekhbhal', 'first month baby care', 'abhi abhi baby hua hai, kaise dhyan rakhe']",['High Frequency'],['High Critical']
Q_0049,FAQ,childbirth_and_newborn_care.md,Bacche ki naabhi (umbilical cord) ki dekhbhal kaise karein?,"['umbilical cord care', 'bacche ki naal ki care kaise kare', 'nabhi kab tak girti hai', 'cord stump care']",['Medium Frequency'],['Medium Critical']
Q_0050,FAQ,breastfeeding_special_conditions.md,Stanpan (breastfeeding) ke dauran nipple mein dard ho to kya karein?,"['sore nipples ka kya ilaj hai', 'breastfeeding me pain ho raha hai', 'nipple me crack aa gaye hai', 'doodh pilate waqt dard hota hai']",['Medium Frequency'],['Medium Critical']
Q_0051,FAQ,pregnancy_care_and_checkups.md,Pregnancy mein bacche ki movement kam mehsoos ho to kya karna chahiye?,"['baby movement kam ho gayi hai', 'baccha kam ghum raha hai pet me', 'fetal movement is less what to do', 'movement feel nahi ho rahi']",['Medium Frequency'],['High Critical']
