question,CompiledAnswer,booklet_id,booklet_type,frequencelevel,criticalitylevel,AnswerConsistencyLevel,ConfidenceLevelinAnswer,ClarityofQuestion,PossibleAssumptioninQuestion,ActionRecommendation,Topics,Keywords,SuggestedReframedQuestion,lookup_variants
Pregnancy me khoon (hemoglobin) badhane ke liye kya khana chahiye?,"Pregnancy mein hemoglobin ke liye **iron-rich foods** roz khayein aur unke saath **Vitamin C** wali cheez lein.

- **Iron foods:** palak/methi jaise leafy vegetables, dal, chana, rajma/beans, bajra, jowar, til, pumpkin seeds, khajoor aur kishmish.
- Agar aap non-veg khati hain: anda, chicken, fish aur lean meat le sakti hain.
- **Vitamin C saath mein:** nimbu, amla, amrood, orange, tomato ya capsicum. Jaise dal/chana par nimbu nichod sakti hain.

**Iron absorb hone ke liye:**
- Chai, coffee aur cola ko iron-rich meal ya iron tablet ke aas-paas na lein; kam se kam **1–2 ghante ka gap** rakhein.
- Milk/curd ya calcium supplements ko iron tablet ke same time par na lein; alag time par lein.

Sirf khane se significant anemia hamesha theek nahi hota. Pregnancy mein prescribed **Iron-Folic Acid (IFA)** tablets lena aur Hb test karwana zaroori ho sakta hai—tablet ki dose apne doctor/health worker se confirm karein.

Agar bahut zyada kamzori, chakkar, saans phoolna, dhadkan tez hona, behoshi, ya Hb bahut kam ho, to jaldi health facility se sampark karein.",Q_0001,MIQ,['High Frequency'],['High Critical'],VeryConsistent,High,Clear,ImplicitAssumption,RE_VET,"Pregnancy anemia, Antenatal nutrition, Iron and folic acid supplementation","pregnancy, hemoglobin, khoon badhana, anemia, iron-rich food, IFA tablet, Vitamin C","Pregnancy mein mera Hb/khoon kam hai ya kam hone ka doubt hai—hemoglobin badhane ke liye kya khana chahiye, kya avoid karna chahiye, aur IFA tablet doctor se kab leni chahiye?","['Mera Khoon 7 point hain khoon badhane ke liye kya karna hai', 'hb kam hai khane me kya lu', 'pregnancy me blood badhane ke liye kya khaye', 'khoon badhane k liye kya khana zaruri hai']"
Pregnancy me khoon ki jaanch (blood test) karana kyu zaroori hai?,"Pregnancy mein blood tests isliye zaroori hote hain kyunki inse maa aur baby ko affect karne wali problems **jaldi pakdi** ja sakti hain.

In tests se doctor/health worker check kar sakte hain:
- **Khoon ki kami (anaemia)** aur platelet level
- **Blood group aur Rh factor**, jisse Rh-related risk ka plan ban sake
- **Blood sugar**, yani pregnancy diabetes ka risk
- Kuch infections, jaise **HIV, syphilis aur hepatitis B**; dusre tests local guidelines aur aapki health history ke hisaab se ho sakte hain
- Zarurat par **thyroid** ya anya health problems

Early detection se iron/folic acid, medicines, vaccination, monitoring ya referral jaise steps time par liye ja sakte hain. Kaun-sa test aur kab repeat hoga, yeh aapke trimester, reports, risk factors aur doctor/health worker ki advice par depend karta hai.",Q_0002,MIQ,['Medium Frequency'],['High Critical'],VeryConsistent,Medium,Clear,ImplicitAssumption,RE_VET,"Pregnancy care, Antenatal screening, Maternal health tests","pregnancy, pregnancy me blood test, khoon ki jaanch, antenatal checkup, CBC hemoglobin, blood group Rh factor, gestational diabetes","Pregnancy mein routine blood tests/khoon ki jaanch kyu karwate hain, aur inse kya-kya problems jaldi pata chal sakti hain?","['Pregnancy mai khun ka check up Krna q zaruri hai', 'blood test kyu karte hai pregnancy me', 'khoon janch kyu karwani chahiye', 'hb test karana important hai kya']"
Iron aur Calcium ki goliyaan ek saath le sakte hain ya nahi? Unhe kab lena chahiye?,"**Iron aur calcium ki goli ek saath na lein**, kyunki calcium iron ke absorption ko kam kar sakta hai.

- **Calcium:** aam taur par meal ke baad le sakte hain, agar doctor ne prescribe kiya ho.
- **Iron/IFA:** calcium se **kam se kam 2 ghante ka gap** rakhkar lein. Pet par suit kare to meals ke beech/baad le sakte hain.
- Iron tablet ke aas-paas **chai, coffee, ya doodh** lene se bachna behtar hai, kyunki iron absorption kam ho sakta hai.

Example: calcium breakfast aur dinner ke baad, aur iron/IFA lunch ke lagbhag 2 ghante baad. Dose aur exact timing apne doctor ki prescription ke mutabik rakhein—khaaskar agar Hb kam hai, pregnancy hai, ya doosri medicines chal rahi hain.",Q_0003,MIQ,['High Frequency'],['High Critical'],VeryConsistent,Medium,Clear,ImplicitAssumption,KEEP,"Pregnancy and antenatal care, Nutrition and supplements, Medication timing","iron tablet, calcium ki goli, IFA, saath mein lena, 2 ghante ka gap, pregnancy supplements, chai coffee","Iron/IFA aur calcium ki goli kya ek saath le sakte hain? In dono ke beech kitne time ka gap rakhna chahiye, aur kab lena best hai?","['calcium ki dawai kab leni chahiye or kya isse iron wali dawai k sath le sakti hu?', 'iron calcium goli kaise khaye', 'kya iron or calcium ki tablet sath me kha sakte h', 'calcium aur iron ki goli lene ka time']"
Pregnancy me BP (Blood Pressure) badh jaaye to kya karna chahiye? Yeh khatarnak kyu hai?,"## Pregnancy mein BP badh jaaye to kya karein?

Pregnancy mein high BP ko **ignore na karein**. Aaj hi apne doctor/ANM/health centre se baat karein aur antenatal check-up miss na karein. BP, urine test aur baby ki growth/movement ki assessment zaroori ho sakti hai. **Khud se BP ki dawa shuru, band ya dose change na karein.**

### Turant hospital/health facility jaayein agar high BP ke saath:
- tez ya lagatar headache, chakkar, ya aankhon ke saamne dhundhla dikhna ho
- chehre ya haathon mein achanak zyada sujan ho
- pet ke upar/right side mein tez dard, saans phoolna, behoshi ya bahut zyada kamzori ho
- vaginal bleeding ya paani jaisa discharge ho
- baby ki movement kam ya band lage

Transport na mile to local emergency/ambulance service, jaise **102/108** (jahaan available ho), ko call karein.

### Yeh khatarnak kyun ho sakta hai?
Pregnancy ka high BP kabhi-kabhi **preeclampsia** naam ki serious condition ka sign hota hai. Isse maa ko fits (seizures), stroke, kidney/liver problems ya placenta se judi complications ka risk ho sakta hai. Baby tak blood aur oxygen ki supply kam ho sakti hai, jisse growth kam hona, time se pehle delivery, ya doosri serious problems ho sakti hain. Jaldi check-up aur treatment se risk kam kiya ja sakta hai.

Agar possible ho, BP reading, pregnancy ke kitne weeks/months hain, aur koi symptom hai ya nahi, yeh doctor ko batayein.",Q_0004,MIQ,['Low Frequency'],['High Critical'],VeryConsistent,High,Clear,ImplicitAssumption,RE_VET,"Pregnancy care, Hypertensive disorders of pregnancy, Pregnancy danger signs","pregnancy mein high BP, BP badh jaaye, preeclampsia, antenatal check-up, pregnancy danger signs, baby movement kam, 102/108 ambulance","Pregnancy mein mera BP high aa raha hai—mujhe ab kya karna chahiye aur yeh maa aur baby ke liye khatarnak kyun ho sakta hai? BP reading, pregnancy week aur symptoms bhi bata sakti/ta sakta hoon.","['Mera bp 180 bad gaya hai admit ke liye bola hai', 'pregnancy me bp high ho to kya kare', 'blood pressure badh gaya hai kya karu', 'pregrency me bp high hona normal hai kya']"
Pregnancy me TT (Tetanus) ka tika kab aur kitni baar lagta hai?,"Pregnancy mein tetanus se bachav ke liye **Td/TT vaccine** aam taur par lagti hai:

- **Dose 1:** Pregnancy ka pata chalne ke baad, **jaldi se jaldi**.
- **Dose 2:** Pehli dose ke **kam se kam 4 hafton baad**.
- Dono doses ko ideally **pregnancy ke 36 weeks se pehle** complete karna chahiye.

Agar aapko pichhle **3 saal mein 2 tetanus-containing doses** lag chuki hain, to aksar **1 booster dose** hi kaafi hoti hai.

Apna **MCP/vaccination card** ANM ya doctor ko zaroor dikhayein, kyunki exact schedule aapke purane vaccination record par depend karta hai. Government health facilities mein yeh vaccine aam taur par free milti hai.",Q_0005,MIQ,['High Frequency'],['High Critical'],VeryConsistent,High,Clear,ImplicitAssumption,KEEP,"Pregnancy care, Antenatal immunization, Tetanus prevention","pregnancy, TT tika, Td vaccine, tetanus injection, kitni baar, 4 hafton baad, MCP card",Pregnancy mein TT/Td ka tika kab lagta hai aur kitni doses lagti hain? Agar pehle se TT/Td laga ho to booster kab chahiye?,"['Meri first pregnancy Hai to Mujhe didi ka injection kitne bar lagega', 'tt ka tika kab lagwana hai', 'pregnancy me tetanus ka injection', 'td injection kab lagta h']"
Agar pregnancy me bukhar (fever) ho to kya TT ka injection le sakte hain?,"Pregnancy mein bukhar ho aur **TT/Td injection due** ho, to injection lagwane se pehle ANM/doctor ko zaroor batayein ki bukhar hai.

- Dono cheezein—pregnancy aur fever ki severity—check karna zaroori hai.
- Bukhar kitna hai, kitne din se hai, aur khansi, saans ki dikkat, pet dard, rash, bleeding, ya bahut zyada kamzori jaise symptoms hain ya nahi, yeh batayein.
- Health worker aapki condition dekhkar batayenge ki injection usi din dena hai ya pehle fever ka assessment/treatment karna hai.

**Jaldi care lein** agar tez bukhar, saans lene mein dikkat, severe pet dard, bleeding, behoshi/confusion, ya bahut zyada kamzori ho.",Q_0006,MIQ,['Low Frequency'],['High Critical'],VeryConsistent,Medium,Clear,ImplicitAssumption,RE_VET,"Pregnancy care and checkups, Maternal immunization, Vaccination rules and precautions","pregnancy, bukhar, fever, TT injection, Td vaccine, ANM/doctor, pregnancy mein vaccine","Main pregnant hoon aur mujhe bukhar hai. Mera TT/Td injection due hai—kya abhi lagwa sakti hoon? Bukhar kitna hai, kitne din se hai, aur koi aur symptoms bhi hain?","['Chauthe mahine hai mujhe mere fever hai to tt injection liye sakte kya', 'bukhar me tt ka tika lagwa sakte hai', 'fever hone par pregnancy me injection le sakte h', 'bimar hu to tika lagega ya nahi']"
Mera bachcha kamzor paida hua hai aur use 'kaanch' (incubator) me rakha hai. Iska kya matlab hai?,"“Kaanch” se aam taur par **incubator** matlab hota hai—ek hospital machine/bed jo chhote ya kamzor newborn ko garam rakhne aur close monitoring ke liye use hoti hai.

Baby ko incubator mein **kam birth weight, time se pehle paida hone, body temperature maintain na kar paane, saans ki problem, feeding difficulty, ya infection ke risk** ki wajah se rakha ja sakta hai. Sirf incubator mein rakhne ka matlab yeh nahi ki baby ki condition zaroor bahut serious hai; exact reason treating doctor hi bata sakte hain.

Doctor/nurse se poochhein:
- Baby ka birth weight aur pregnancy ke kitne weeks par birth hua?
- Incubator ki zarurat ka main reason kya hai—weight, saans, temperature, feeding, ya koi aur problem?
- Baby ko breastmilk kaise aur kab diya jayega?

Agar baby stable ho, hospital team **Kangaroo Mother Care (KMC)**—maa ya pita ke seene se skin-to-skin contact—and breastmilk ki salah de sakti hai. Yeh **hospital staff ki advice ke mutabik** hi shuru karein.

Hospital mein baby ki saans tez/chalti hui lage, baby neela pade, feed na le, bahut sust ho, ya bukhar/temperature low ho, to turant nurse ya doctor ko batayein.",Q_0007,MIQ,['Low Frequency'],['High Critical'],VeryConsistent,High,Clear,ImplicitAssumption,KEEP,"Newborn care, Low birth weight and prematurity, Kangaroo Mother Care","kaanch, incubator, kamzor newborn, low birth weight, preterm baby, Kangaroo Mother Care (KMC), breastmilk feeding","Mera newborn baby kamzor/chhota paida hua hai aur use “kaanch” yani incubator mein rakha hai. Doctor ne kyun rakha hoga—weight, saans, temperature ya feeding ke liye? Baby ka birth weight aur care ke baare mein kya poochhna chahiye?","['Mera babu kamzor h use kanch m rakha h', 'bacha kamjor hai kanch me rakha hai', 'baby ko kanch me kyu rakhte hai', 'kam wajan wale bache ko machine me rakha hai']"
Doctor ne bataya hai ki bachche ka vajan kam hai aur paani ki bhi kami hai. Ab kya karna chahiye?,"## Pehle yeh clear karna zaroori hai
“Bachche ka vajan kam aur paani ki kami” ka matlab do alag situations ho sakta hai:

1. **Pregnancy mein ultrasound par baby ka weight kam aur paani/amniotic fluid kam**, ya
2. **Paida hue bachche ka weight kam aur dehydration/feeding ki kami**.

Dono mein doctor ki **jaldi follow-up review** zaroori hai. Scan/report ya child growth record saath le jaiye.

## Agar aap pregnant hain
- Gynaecologist se poochhiye ki baby ka growth, amniotic fluid aur placenta report mein kya likha hai aur next scan/monitoring kab hai.
- Doctor ki batayi medicines, iron-folic acid/calcium aur diet advice follow karein; bina advice ke koi medicine ya home remedy se “paani” badhane ki koshish na karein.
- **Turant facility jaiye** agar bleeding ya paani jaisa discharge, tez pet dard, bukhar, behoshi/zyada kamzori, severe headache, chehre/haath-pair ki achanak sujan, ya baby ki movements kam/na ho.

## Agar bachcha paida ho chuka hai
- Child doctor/health worker se **weight, feeding/latch, urine output aur growth chart** check karwaiye.
- Breastfeeding baby ko **baar-baar breastfeed** karaiye. 6 mahine se chhote baby ko aam taur par sirf breastmilk chahiye; plain paani ya koi drink dene se pehle doctor se poochhein.
- Low-birth-weight lekin stable baby ke liye **Kangaroo Mother Care** (skin-to-skin contact aur frequent exclusive breastfeeding) helpful ho sakta hai.
- Dast/ulti ho to feeding band na karein; ORS ya fluids ke baare mein health worker ki salah lein.

**Urgent care lein** agar bachcha feed na kar raha ho, bahut sust ho, baar-baar ulti/dast ho, muh sookha ho, aankhen dhansi lagen, bukhar ho, ya peshab bahut kam ho.

Doctor ko bachche ki age/pregnancy week, current weight, kitne din se problem hai, feeding aur urine ki details, aur scan/report dikhaiye.",Q_0008,MIQ,['Low Frequency'],['High Critical'],VeryConsistent,Medium,Ambiguous,ImplicitAssumption,RE_VET,"Pregnancy monitoring, Child growth and nutrition, Dehydration and feeding","bachche ka vajan kam, low birth weight, paani ki kami, dehydration, amniotic fluid, Kangaroo Mother Care, growth monitoring","Doctor ne bola hai ki bachche ka weight kam hai aur “paani” bhi kam hai. Kya yeh pregnancy ultrasound mein baby ka weight aur amniotic fluid kam hai, ya paida hue bachche mein dehydration/feeding ki kami? Pregnancy week ya bachche ki age, report ke numbers, feeding aur peshab ki details ke hisaab se ab kya karna chahiye?","['Doctor se chaup karyi hu wajan kam hai aur pani ki kami bata raha gai', 'pet me pani kam hai kya karu', 'baby ka weight kam hai aur pani bhi kam hai', 'amniotic fluid kam ho to kya kare']"
Bachchon ke liye teekakaran (vaccination) kyu zaroori hai?,"## Bachchon ke liye vaccination kyu zaroori hai?

Vaccination bachche ko kai **serious infectious diseases** se bachane ka safe aur effective tareeqa hai. Vaccine body ke immune system ko infection pehchanne aur uske khilaaf protection (antibodies aur immune response) banane mein madad karta hai.

- Vaccines sahi umar par aur **poori recommended doses** mein lagne par best protection dete hain.
- Vaccine delay ya miss hone par bachcha kuch samay tak us bimari se kam protected reh sakta hai aur serious infection ka risk badh sakta hai.
- Teekakaran se kuch bimariyon ki severe complications, hospital admission aur death ka risk kam hota hai.
- Routine childhood vaccination birth se shuru hoti hai. India mein sarkari health facilities par National Immunization Schedule ke vaccines aam taur par free milte hain; Mother and Child Protection (MCP) card sambhal kar rakhein.

Agar koi dose miss ho gayi ho, apne nearest health centre ya pediatrician se catch-up vaccination ke baare mein poochhein.",Q_0009,MIQ,['Medium Frequency'],['High Critical'],VeryConsistent,High,Clear,NoAssumption,KEEP,"Childhood immunization, Preventive healthcare, Vaccine schedule basics","teekakaran, vaccination, bachchon ka vaccine, immunization, antibodies, routine childhood immunization, MCP card","Bachchon ke liye routine teekakaran (vaccination) kyu zaroori hai, aur time par saari doses lagwana kyu important hai?","['Tikkaran kyu jaruri hai', 'bacho ko tika lagwana kyu important hai', 'vaccine kyu lagate hai', 'teeka nahi lagwayenge to kya hoga']"
Delivery ka time paas hai lekin dard shuru nahi ho raha hai. Dard laane ke liye kya kar sakte hain?,"Delivery ka time paas hone par bhi dard shuru na hona kabhi-kabhi normal ho sakta hai, lekin **ghar par dard laane ki koshish na karein**. Koi dawa, desi nuskha, ya method bina doctor/health worker ki salah ke use na karein.

Apne doctor ya nearest health centre se **aaj hi** baat karein. Unhe batayein:
- pregnancy kitne hafte ki hai / due date kya hai
- baby ki movement normal hai ya nahi
- paani leak ho raha hai ya bleeding ho rahi hai
- koi purani pregnancy ya health complication hai ya nahi

Delivery bag, reports aur transport ready rakhein. Zarurat ho to free government ambulance **102/108** par call karein.

**Turant hospital/health facility jayein** agar bleeding ho, paani nikal raha ho, baby ki movement kam ya band lage, tez pet dard, bukhar, chakkar/behoshi, ya bahut zyada kamzori ho.",Q_0010,MIQ,['Medium Frequency'],['High Critical'],VeryConsistent,Medium,Clear,DangerousAssumption,KEEP,"Labour and delivery, Pregnancy danger signs, Birth preparedness","delivery time paas, dard shuru nahi, labour pain, near due date, ghar par induction, baby movement, 102/108 ambulance","Delivery ka time paas hai lekin dard shuru nahi hua. Meri pregnancy kitne weeks ki hai/due date kya hai, baby movement normal hai, aur paani ya bleeding to nahi ho rahi—mujhe doctor ya hospital se kab sampark karna chahiye?","['Mujhe dard nahi aaa raha hai Dard aaye is ke liye kya karna chahiye', 'delivery date nikal gayi par pain nahi ho raha', 'labour pain start karne ke liye kya kare', 'dard shuru nahi hua ab kya']"
