booklet_id,booklet_type,textbook_chapter_reference,printed_booklet_question,lookup_variants
Q_0001,MIQ,anemia_during_pregnancy.md,Mera hemoglobin 7 point hai. Khoon badhane ke liye kya karna chahiye?,"['Mera Khoon 7 point hain khoon badhane ke liye kya karna hai', 'hb 7 hai blood badane k liye kya khau', 'khoon ki kami hai 7 point pe kya kare', 'pregnancy me blood 7 gm hai kaise badhaye']"
Q_0002,MIQ,anemia_during_pregnancy.md,Pregnancy mein khoon ki jaanch karana kyon zaroori hai?,"['Pregnancy mai khun ka check up Krna q zaruri hai', 'hb test kyu important hai', 'gর্ভাবস্থা me blood test kyu karte h', 'khoon janch kyu karwani chahiye preg me']"
Q_0003,MIQ,pregnancy_nutrition_and_diet.md,Iron aur calcium ki dawai ek saath le sakti hoon kya? Inhe kab lena chahiye?,"['calcium ki dawai kab leni chahiye or kya isse iron wali dawai k sath le sakti hu?', 'iron or calcium tablet sath me kha sakte hai?', 'fa aur ca goli kab khani hai', 'iron calcium goli me kitna gap hona chahiye']"
Q_0004,MIQ,pregnancy_care_and_checkups.md,Mera BP 180 ho gaya hai aur doctor ne admit hone ko bola hai. Yeh kitna khatarnak hai?,"['Mera bp 180 bad gaya hai admit ke liye bola hai', 'high bp in pregnancy 180', 'bp badh gaya hai kya karu', 'pregnancy me bp high hone se kya hota hai']"
Q_0005,MIQ,childbirth_and_newborn_care.md,Mera bachcha kamzor hai aur use kaanch mein rakha hai. Iska kya matlab hai aur mujhe kya karna chahiye?,"['Mera babu kamzor h use kanch m rakha h', 'baby ko kanch me rakha hai', 'bacha nicu me hai kamzor hai', 'kamjor bache ko kaanch me kyu rakhte hai']"
Q_0006,MIQ,pregnancy_care_and_checkups.md,Doctor ne bataya hai ki bachche ka vajan kam hai aur paani ki bhi kami hai. Mujhe kya karna chahiye?,"['Doctor se chaup karyi hu wajan kam hai aur pani ki kami bata raha gai', 'baby ka weight kam aur pani kam hai', 'pet me pani ki kami hai kya karu', 'bache ka vajan kaise badhaye aur pani kaise badhaye']"
Q_0007,MIQ,immunization_schedule_and_basics.md,Pregnancy mein TT ka tika lagwana kyon zaroori hai?,"['tt ka injection kyu jaruri hai pregnancy me', 'tika kyu lagwate hai', 'pregnancy me tetanus ka tika kyu lagta hai', 'td injection kyu important hai']"
Q_0008,MIQ,immunization_rules_and_exceptions.md,Mujhe bukhar hai. Kya main chauthe mahine mein TT ka injection le sakti hoon?,"['Chauthe mahine hai mujhe mere fever hai to tt injection liye sakte kya', 'bukhar me tt ka tika lagwa sakte hai?', 'fever h to injection le sakte h kya', 'kya bukhar me tika lagta hai']"
Q_0009,MIQ,childbirth_and_newborn_care.md,Mera delivery ka time ho gaya hai par dard shuru nahi ho raha hai. Dard aane ke liye kya karna chahiye?,"['Mujhe dard nahi aaa raha hai Dard aaye is ke liye kya karna chahiye', 'delivery date nikal gayi par pain nahi ho raha', 'labour pain start karne ke liye kya kare', 'dard aane ka upay batao']"
Q_0010,MIQ,breastfeeding_special_conditions.md,Agar bachche ke liye maa ka doodh kam pad raha ho toh kya karna chahiye?,"['Agar bacche ko dudh kam hojaye to kiya kare', 'mera doodh kam aa raha hai', 'breast milk supply kaise badhaye', 'maa ka dudh nahi ho raha hai kya karu']"
Q_0011,MIQ,pregnancy_nutrition_and_diet.md,Bachche ka vajan badhane ke liye pregnancy mein kya khana chahiye?,"['bache ka wajah badhane k liye kya khilana chaiye', 'baby ka weight gain karne ke liye kya khau', 'garbh me shishu ka vajan kaise badhaye', 'pet me bacche ka weight badhane ki diet']"
Q_0012,MIQ,immunization_schedule_and_basics.md,Bachchon ka tikakaran kyon zaroori hai?,"['Tikkaran kyu jaruri hai', 'bacho ko tika lagwana kyu important hai', 'vaccination kyu karwate hai baby ka', 'tika nahi lagwayenge to kya hoga']"
